Key,Year,CompanyCode,CompanyName,OperatingRevenues,NetIncomeAfterTax,CapitalStock,EPS
2013_1101,2013,1101,台泥,116098947,10026731,36921759,2.72
2013_1102,2013,1102,亞泥,70172781,6805830,32955365,2.21
2013_1103,2013,1103,嘉泥,4268305,1272068,7768285,1.97
2013_1104,2013,1104,環泥,5276157,1113121,6038919,1.84
2013_1108,2013,1108,幸福,4869590,179445,4047380,0.44
2013_1109,2013,1109,信大,4551240,274532,4210008,0.65
2013_1110,2013,1110,東泥,2024604,146033,5720008,0.26
2013_1201,2013,1201,味全,29200402,872887,5060629,1.72
2013_1203,2013,1203,味王,5996151,263475,2400000,1.11
2013_1210,2013,1210,大成,90478017,1795696,5664572,3.42
2013_1213,2013,1213,大飲,720142,16434,514751,0.32
2013_1215,2013,1215,卜蜂,18122414,453081,2320268,1.95
2013_1216,2013,1216,統一,423056211,12764241,51542229,2.48
2013_1217,2013,1217,愛之味,4479802,-134669,4976893,-0.28
2013_1218,2013,1218,泰山,9112164,-119396,3533360,-0.35
2013_1219,2013,1219,福壽,10510873,28143,3131882,0.09
2013_1220,2013,1220,台榮,3535821,57271,1770779,0.32
2013_1225,2013,1225,福懋油,14209086,62240,2014364,0.32
2013_1227,2013,1227,佳格,20379206,1859582,6611319,2.83
2013_1229,2013,1229,聯華,5364070,1334288,8533330,1.57
2013_1231,2013,1231,聯華食,5386837,342639,1322438,2.59
2013_1232,2013,1232,大統益,20047360,706875,1599749,4.42
2013_1233,2013,1233,天仁,2076258,230963,905919,2.55
2013_1234,2013,1234,黑松,6537718,312119,4018711,0.64
2013_1235,2013,1235,興泰,249386,-45637,561688,-0.84
2013_1236,2013,1236,宏亞,2685119,136168,1083425,1.26
2013_1702,2013,1702,南僑,13426115,854366,2941330,3.44
2013_1301,2013,1301,台塑,215424768,20715841,63657408,3.25
2013_1303,2013,1303,南亞,311005289,25271588,79308216,3.19
2013_1304,2013,1304,台聚,58678881,817164,11426024,0.79
2013_1305,2013,1305,華夏,14191319,753119,4502917,1.67
2013_1307,2013,1307,三芳,10488145,798829,3640599,2.19
2013_1308,2013,1308,亞聚,5804229,536855,4696769,1.14
2013_1309,2013,1309,台達化,21438961,17383,3276518,0.05
2013_1310,2013,1310,台苯,21756532,1085976,5027331,2.16
2013_1312,2013,1312,國喬,26288575,1950675,9266203,2.15
2013_1313,2013,1313,聯成,51599106,597975,11568629,0.52
2013_1314,2013,1314,中石化,35338541,-1429922,23199897,-0.62
