CompanyCode,Category,ThisMonthRevenue,PreviousMonthRevenue,ThisMonthRevenueOfLastYear,RevenueGrowthRateFromLastMonth,RevenueGrowthRateInTheSameMonthLastYear,CumulativeRevenues,CumulativeRevenuesLastYear,GrowthRateOfCumulativeRevenues,CapitalStock,DataYear,DataMonth
1101,水泥工業,10293900,9745147,11211942,5.631038710857825,-8.188073038551217,92542392,98773809,-6.308774626682666,59414007,2020,10
1102,水泥工業,7433331,7256519,7016219,2.436595287630336,5.944968365440133,61997504,73225486,-15.333434591338868,33614471,2020,10
1103,水泥工業,165638,163492,176879,1.3126024514960977,-6.3551919673901365,1647163,1539872,6.967527171089546,7747805,2020,10
1104,水泥工業,495885,450890,503315,9.97915234314356,-1.4762127097344606,4382436,4054671,8.083639831690414,6536091,2020,10
1108,水泥工業,381651,380768,348338,0.23189973947390535,9.563412547583097,3739997,3007974,24.336081362405395,4047380,2020,10
1109,水泥工業,789783,675602,638725,16.900630844787315,23.649927590120946,6003212,6259154,-4.089082965525373,3419578,2020,10
1110,水泥工業,143594,143254,143344,0.2373406676253368,0.17440562562786024,1280618,1282160,-0.1202658014600362,5720007,2020,10
1201,食品工業,1654044,1770907,1739332,-6.599047832551342,-4.903491685313671,15596088,17172143,-9.177975049474023,5060629,2020,10
1203,食品工業,435262,540372,514106,-19.451414951181782,-15.336136905618687,5026648,5258963,-4.417505884715295,2400000,2020,10
1210,食品工業,7189097,7188625,6863541,0.006565928811142604,4.743265903124931,64493642,64205759,0.4483756667373093,8273390,2020,10
1213,食品工業,26380,41327,27127,-36.16763858978392,-2.7537140118700925,352924,382109,-7.637872962950362,566226,2020,10
1215,食品工業,1913473,1920517,1908232,-0.3667762378567854,0.274652138733655,18280181,17483590,4.556221004953788,2679909,2020,10
1216,食品工業,36463221,40353475,36972407,-9.640443604918783,-1.377205438639686,377275653,380327552,-0.8024396297221191,56820154,2020,10
1217,食品工業,266129,565045,284230,-52.901273349910184,-6.3684340147063985,4051478,3898696,3.91879746458816,4945133,2020,10
1218,食品工業,676243,819145,690997,-17.445263048666597,-2.135175695408229,7105867,6887438,3.1714114885680282,4999990,2020,10
1219,食品工業,1099296,1086298,1083064,1.196540912346336,1.4987110641661066,10058390,10127804,-0.6853805622620659,3220138,2020,10
1220,食品工業,241613,287415,309104,-15.935841901083801,-21.83439877840468,2297494,2384612,-3.6533406692577235,1770779,2020,10
1225,食品工業,817026,835861,1023560,-2.2533650929999127,-20.17800617452812,8306554,8861930,-6.2669869881617215,2187030,2020,10
1227,食品工業,2812353,3958750,2305665,-28.958560151562985,21.975785727761842,27036883,23710561,14.028862497180054,9150895,2020,10
1229,食品工業,807007,915901,716226,-11.889276242738026,12.67490987481605,7906778,6692813,18.138337347838647,12814982,2020,10
1231,食品工業,708224,694394,695551,1.9916646745219573,1.8220087383958905,7193868,7011674,2.598437976437581,1833251,2020,10
1232,食品工業,1516071,1537742,1486022,-1.4092741175047567,2.022110036055994,14001832,14095352,-0.6634811248417208,1599749,2020,10
1233,食品工業,147219,180532,176532,-18.452684288657967,-16.60492148732241,1566522,1858834,-15.725556988951139,905919,2020,10
1234,食品工業,753787,876580,729907,-14.008190923817565,3.2716496759176166,7622804,7481706,1.885906770461176,4018710,2020,10
1235,食品工業,6355,28185,10207,-77.45254568032641,-37.73880670128343,61710,58185,6.0582624387728785,989554,2020,10
1236,食品工業,112963,193049,149497,-41.484804376091034,-24.43794858759708,1262771,1425524,-11.417064882808006,1083425,2020,10
1256,食品工業,250600,570729,191665,-56.09124470633173,30.748963034461173,2957816,3028811,-2.3439891099180503,338421,2020,10
1301,塑膠工業,16712494,15836081,16583297,5.534279598595131,0.7790790938617332,147890638,175880157,-15.913972034946498,63657407,2020,10
1303,塑膠工業,24739023,23828101,24199415,3.822889620956366,2.2298390271004487,218711317,238856644,-8.434065999855545,79308215,2020,10
1304,塑膠工業,4622066,4307703,4560162,7.297694386080006,1.3574956328305878,39250828,46545009,-15.671242001478612,11887635,2020,10
1305,塑膠工業,1386393,1134914,1248897,22.15841905201628,11.009394689874345,10526829,12656114,-16.824161033947707,5533814,2020,10
1307,塑膠工業,841490,840399,968475,0.12981928821904834,-13.111851106120447,7016582,8705491,-19.40050251042704,3978181,2020,10
1308,塑膠工業,458950,473181,583313,-3.007517208002857,-21.320114586851314,4444385,5623764,-20.971345881512807,5821018,2020,10
