CapitalStock,Category,CompanyCode,CompanyName,CumulativeRevenues,CumulativeRevenuesLastYear,EPS,GrowthRateOfCumulativeRevenues,PreviousMonthRevenue,RevenueGrowthRateFromLastMonth,RevenueGrowthRateInTheSameMonthLastYear,ThisMonthRevenue,ThisMonthRevenueOfLastYear,YearMonth
59414007210,水泥工業,1101,台泥,92542392,98773809,3.53030753135681,-6.308774626682666,9745147,5.631038710857825,-8.188073038551217,10293900,11211942,109/10
33614471980,水泥工業,1102,亞泥,61997504,73225486,3.08794045448303,-15.333434591338868,7256519,2.436595287630336,5.944968365440133,7433331,7016219,109/10
7747805480,水泥工業,1103,嘉泥,1647163,1539872,2.37816882133484,6.967527171089545,163492,1.3126024514960977,-6.3551919673901365,165638,176879,109/10
6536091920,水泥工業,1104,環泥,4382436,4054671,2.08916783332825,8.083639831690414,450890,9.97915234314356,-1.4762127097344606,495885,503315,109/10
4047380490,水泥工業,1108,幸福,3739997,3007974,-0.384114116430283,24.336081362405395,380768,0.23189973947390538,9.563412547583095,381651,348338,109/10
3419578680,水泥工業,1109,信大,6003212,6259154,1.6818436384201,-4.089082965525373,675602,16.900630844787315,23.649927590120946,789783,638725,109/10
5720007970,水泥工業,1110,東泥,1280618,1282160,-0.501108646392822,-0.1202658014600362,143254,0.23734066762533682,0.17440562562786024,143594,143344,109/10
5060629140,食品工業,1201,味全,15596088,17172143,0.927056312561035,-9.177975049474023,1770907,-6.599047832551342,-4.903491685313672,1654044,1739332,109/10
2400000000,食品工業,1203,味王,5026648,5258963,1.60073363780975,-4.417505884715295,540372,-19.45141495118178,-15.336136905618686,435262,514106,109/10
8273390860,食品工業,1210,大成,64493642,64205759,3.41572308540344,0.44837566673730933,7188625,0.006565928811142604,4.743265903124932,7189097,6863541,109/10
566226270,食品工業,1213,大飲,352924,382109,-0.290848344564438,-7.637872962950362,41327,-36.16763858978392,-2.7537140118700925,26380,27127,109/10
2679909980,食品工業,1215,卜蜂,18280181,17483590,5.33996725082397,4.556221004953788,1920517,-0.3667762378567854,0.274652138733655,1913473,1908232,109/10
56820154210,食品工業,1216,統一,377275653,380327552,2.73418116569519,-0.8024396297221191,40353475,-9.640443604918783,-1.3772054386396861,36463221,36972407,109/10
4945133360,食品工業,1217,愛之味,4051478,3898696,0.108108431100845,3.9187974645881596,565045,-52.901273349910184,-6.368434014706399,266129,284230,109/10
4999990380,食品工業,1218,泰山,7105867,6887438,1.02683937549591,3.171411488568028,819145,-17.445263048666597,-2.135175695408229,676243,690997,109/10
3220138870,食品工業,1219,福壽,10058390,10127804,0.518597722053528,-0.6853805622620659,1086298,1.196540912346336,1.4987110641661066,1099296,1083064,109/10
1770779440,食品工業,1220,台榮,2297494,2384612,0.724183678627014,-3.653340669257724,287415,-15.9358419010838,-21.83439877840468,241613,309104,109/10
2187030510,食品工業,1225,福懋油,8306554,8861930,0.859633207321167,-6.266986988161721,835861,-2.2533650929999127,-20.178006174528118,817026,1023560,109/10
9150895910,食品工業,1227,佳格,27036883,23710561,3.78262591362,14.028862497180054,3958750,-28.958560151562992,21.97578572776184,2812353,2305665,109/10
12814982150,食品工業,1229,聯華,7906778,6692813,1.605015873909,18.138337347838643,915901,-11.889276242738026,12.67490987481605,807007,716226,109/10
1833251650,食品工業,1231,聯華食,7193868,7011674,1.74442291259766,2.598437976437581,694394,1.9916646745219573,1.8220087383958905,708224,695551,109/10
1599749150,食品工業,1232,大統益,14001832,14095352,5.14415454864502,-0.6634811248417208,1537742,-1.409274117504757,2.022110036055994,1516071,1486022,109/10
905919480,食品工業,1233,天仁,1566522,1858834,1.25133955478668,-15.725556988951139,180532,-18.452684288657967,-16.60492148732241,147219,176532,109/10
4018710940,食品工業,1234,黑松,7622804,7481706,1.37139129638672,1.8859067704611756,876580,-14.008190923817564,3.271649675917617,753787,729907,109/10
989554360,食品工業,1235,興泰,61710,58185,1.99395763874054,6.058262438772879,28185,-77.45254568032641,-37.73880670128343,6355,10207,109/10
1083425100,食品工業,1236,宏亞,1262771,1425524,0.343385368585587,-11.417064882808006,193049,-41.48480437609104,-24.437948587597077,112963,149497,109/10
338421600,食品工業,1256,鮮活果汁-KY,2957816,3028811,11.556715965271,-2.3439891099180503,570729,-56.09124470633173,30.74896303446117,250600,191665,109/10
63657407810,塑膠工業,1301,台塑,147890638,175880157,3.52021312713623,-15.9139720349465,15836081,5.534279598595132,0.7790790938617332,16712494,16583297,109/10
79308215890,塑膠工業,1303,南亞,218711317,238856644,3.35363507270813,-8.434065999855545,23828101,3.822889620956366,2.2298390271004487,24739023,24199415,109/10
11887635000,塑膠工業,1304,台聚,39250828,46545009,0.849023699760437,-15.671242001478612,4307703,7.297694386080006,1.357495632830588,4622066,4560162,109/10
5533814230,塑膠工業,1305,華夏,10526829,12656114,2.33304691314697,-16.824161033947703,1134914,22.158419052016278,11.009394689874345,1386393,1248897,109/10
3978181260,塑膠工業,1307,三芳,7016582,8705491,1.13227641582489,-19.40050251042704,840399,0.12981928821904834,-13.111851106120447,841490,968475,109/10
5821018820,塑膠工業,1308,亞聚,4444385,5623764,0.876951575279236,-20.971345881512807,473181,-3.007517208002857,-21.320114586851314,458950,583313,109/10
3442310380,塑膠工業,1309,台達化,12086690,14809338,1.11049044132233,-18.384670536927445,1371229,3.529388599570167,5.49530496196707,1419625,1345676,109/10
5278697640,塑膠工業,1310,台苯,6266452,10466940,2.11413216590881,-40.13100294833065,642101,10.457856318554246,-29.60846781397011,709251,1007580,109/10
9266203280,塑膠工業,1312,國喬,13038337,17179281,1.40433096885681,-24.104291675536363,1487844,5.3303975416777565,-1.769420596083318,1567152,1595381,109/10
13323476070,塑膠工業,1313,聯成,39998168,51624733,-0.568768858909607,-22.521307761533606,5087822,-2.9709569242005713,2.876207163437353,4936665,4798646,109/10
32848501300,塑膠工業,1314,中石化,14313110,26415314,1.13294303417206,-45.81510558610055,1224711,5.720859859999624,-32.96697778155138,1294775,1931548,109/10
1386000000,塑膠工業,1315,達新,1845954,2047016,2.5038526058197,-9.822199728775935,194188,10.400230704265969,37.945589787146424,214384,155412,109/10
1846776260,建材營造,1316,上曜,1057270,464590,-1.06080865859985,127.57054607288147,54133,16.876951212753774,40.67593107281823,63269,44975,109/10
5914770680,汽車工業,1319,東陽,14115815,17577260,2.39925694465637,-19.69274505810348,1627022,-8.51008775542064,-17.648044878178318,1488561,1807560,109/10
2272282680,塑膠工業,1321,大洋,4039583,3878228,0.29488530755043,4.160534140849894,508942,-10.754270624157567,17.499042849308264,454209,386564,109/10
912745540,塑膠工業,1323,永裕,2790015,3018857,3.07418751716614,-7.580418681640104,303129,-3.2144730461288757,-12.67056008001143,293385,335952,109/10
751218820,塑膠工業,1324,地球,876090,951076,-0.436675220727921,-7.88433311323175,85306,-3.678522026586641,-13.09847387179677,82168,94553,109/10
852811980,塑膠工業,1325,恆大,3467485,651235,0.579264521598816,432.44758036653434,471539,0.64003189555901,781.617373857472,474557,53828,109/10
58611862910,塑膠工業,1326,台化,203110368,276042156,4.36776876449585,-26.42052542148671,20716904,8.732265207195052,-9.423404896452741,22525959,24869514,109/10
2689547290,塑膠工業,1337,再生-KY,750185,1017119,-2.32647442817688,-26.244126793423384,79338,31.203206534069423,7.7421491709276085,104094,96614,109/10
838400000,汽車工業,1338,廣華-KY,4750711,6033557,4.76764154434204,-21.261852668334782,661004,-3.712836836085712,-4.4084383927042685,636462,665814,109/10
741388750,汽車工業,1339,昭輝,1706911,2151485,4.98304986953735,-20.66358817282017,206573,-10.948187807699941,-14.831567835845773,183957,215992,109/10
1529228550,塑膠工業,1340,勝悅-KY,538382,972457,1.6647287607193,-44.63693510355728,81580,-21.700171610688894,-31.73200239398085,63877,93568,109/10
494000000,塑膠工業,1341,富林-KY,2109495,2503972,4.11854267120361,-15.754049965414948,229233,6.216818695388535,-13.235409406113474,243484,280626,109/10
53528752270,紡織纖維,1402,遠東新,167533437,210315551,1.04838705062866,-20.341869061313492,16832713,-0.24944879651901627,-15.892096667522068,16790724,19963313,109/10
16184092910,紡織纖維,1409,新纖,25591766,32692783,1.13083922863007,-21.720442092678375,2597618,6.383348128939667,-4.734665735880928,2763433,2900775,109/10
630000000,紡織纖維,1410,南染,337030,334033,0.859109044075012,0.8972167420584194,40589,-16.184187834142254,-4.225669322372681,34020,35521,109/10
1321124540,紡織纖維,1413,宏洲,1218550,2610227,-0.0738485753536224,-53.31632076443926,122414,15.521100527717419,-35.498378496722786,141414,219241,109/10
2200000000,紡織纖維,1414,東和,555792,661622,0.175764471292496,-15.995538237845778,60808,8.893566635968952,52.168217855911756,66216,43515,109/10
1853421680,其他,1416,廣豐,177040,222238,-0.75575578212738,-20.337656026422124,16627,-6.393215853731882,-15.596529284164859,15564,18440,109/10
1899418400,紡織纖維,1417,嘉裕,861229,1117555,0.607356905937195,-22.93632080747704,92872,-0.021535015935911794,-10.428986234239796,92852,103663,109/10
568343090,紡織纖維,1418,東華,76837,189119,-3.01076531410217,-59.37108381495249,6159,-16.02532878714077,-41.387126019945605,5172,8824,109/10
3000412800,紡織纖維,1419,新紡,1687385,1641335,1.38753855228424,2.805642967462462,202648,8.852295606174254,-16.4708956241196,220587,264084,109/10
1384000000,紡織纖維,1423,利華,178561,421899,-0.464706629514694,-57.6768373473272,12877,13.41150889182263,-46.84622383985441,14604,27475,109/10
750000000,貿易百貨,1432,大魯閣,983707,996180,-1.36034762859344,-1.2520829568953402,84413,25.13238482224302,22.803264584835027,105628,86014,109/10
16846646370,紡織纖維,1434,福懋,24001938,31240783,1.89239370822906,-23.171138188181775,2328734,1.969954490293868,-15.099235838812866,2374609,2796923,109/10
1397800800,其他,1435,中福,12646,17437,-0.167041629552841,-27.4760566611229,1267,0.07892659826361484,-6.901615271659325,1268,1362,109/10
956340000,建材營造,1436,華友聯,1609764,1055068,1.50369465351105,52.57443122149473,300717,-69.21690493054932,-71.9831238953052,92570,330408,109/10
2033712840,其他,1437,勤益控,471414,492221,3.90478944778442,-4.227166252557287,43413,4.123188906548729,8.33812673760905,45203,41724,109/10
1024115180,建材營造,1438,三地開發,98429,10,NaN,984190.0,2,-50.0,,1,0,109/10
920000000,紡織纖維,1439,中和,95746,145239,10.1114292144775,-34.076935258436095,4997,24.29457674604763,-8.121301775147929,6211,6760,109/10
16568158570,紡織纖維,1440,南紡,14212963,19323698,-0.369559973478317,-26.448017351544202,1418244,13.858405182747115,-19.717508085224857,1614790,2011385,109/10
1008000000,紡織纖維,1441,大東,1286696,1221272,-3.52477288246155,5.35703758048985,91952,24.978249521489474,-7.177358124808167,114920,123806,109/10
3091174260,建材營造,1442,名軒,1955491,480863,0.401622444391251,306.66281248505294,324999,-70.42513976966083,276.06322626080834,96118,25559,109/10
1353430110,紡織纖維,1443,立益,463576,562724,0.0422243177890778,-17.61929471641515,55232,-1.4357618771726535,-7.140298507462687,54439,58625,109/10
9573029420,紡織纖維,1444,力麗,6775920,10268009,-0.00916990637779236,-34.009407276522644,652937,9.275933206419609,-26.600231668652103,713503,972078,109/10
1306660340,紡織纖維,1445,大宇,753204,1141835,-0.497448056936264,-34.03565313727465,70496,-6.240070358601907,-46.08023885662077,66097,122584,109/10
1377095130,紡織纖維,1446,宏和,397406,369314,-0.944418907165527,7.606535360154232,44365,-88.71182238250873,-79.21301676905196,5008,24092,109/10
9144872420,紡織纖維,1447,力鵬,10385594,12440183,-0.86209511756897,-16.51574578927014,1972834,-4.681843479988686,64.43041693700563,1880469,1143626,109/10
820000000,紡織纖維,1449,佳和,1572168,2068654,-1.6713935136795,-24.000436999130837,126897,59.04552511091673,-14.687768154169362,201824,236571,109/10
1980000000,紡織纖維,1451,年興,5728458,7259802,-0.543418765068054,-21.093467838379063,741504,-5.709746677023994,-6.88439092345024,699166,750858,109/10
1326414000,紡織纖維,1452,宏益,946297,1608246,0.668941140174866,-41.15968576946562,116783,2.2837228021201716,-19.275813830901583,119450,147973,109/10
1006149800,紡織纖維,1453,大將,219185,669,-1.35948407649994,32663.079222720477,252,-77.77777777777777,0.0,56,56,109/10
1298338480,紡織纖維,1454,台富,956232,1627419,0.0810282528400421,-41.24242128179651,92735,-15.129131395913086,-54.627473135636215,78705,173464,109/10
5500013800,紡織纖維,1455,集盛,6051751,10244244,-0.805299520492554,-40.925352812760025,729968,-10.374153387545755,-25.728900952569077,654240,880881,109/10
937200000,紡織纖維,1456,怡華,416885,691777,-0.159416288137436,-39.73708290388377,37980,-44.90521327014218,-79.11113773172411,20925,100173,109/10
3016476400,紡織纖維,1457,宜進,2228078,4219124,1.03406703472137,-47.19098087659903,241966,3.1310184075448615,-33.22612064905596,249542,373712,109/10
3586289070,紡織纖維,1459,聯發,1349360,2664843,-0.677128195762634,-49.36437155960032,139676,19.733526160542972,-32.62984462554232,167239,248239,109/10
5098341820,紡織纖維,1460,宏遠,5730559,7270356,-0.7662113904953,-21.17911420018497,679479,26.30795065042481,0.4880173475648309,858236,854068,109/10
1732683810,紡織纖維,1463,強盛,374601,478830,0.442156225442886,-21.767433118225675,32314,-25.190319985145756,-38.1486030089039,24174,39084,109/10
3845656520,紡織纖維,1464,得力,6817271,8765685,1.42601978778839,-22.227743753055236,867547,-2.9773603043984935,-25.01173755974574,841717,1122465,109/10
